,x
1,RP11-34P13.3
2,RP11-34P13.7
3,RP11-34P13.14
4,FO538757.3
5,FO538757.2
6,AP006222.2
7,RP5-857K21.15
8,RP4-669L17.2
9,RP4-669L17.10
10,RP5-857K21.4
11,RP5-857K21.2
12,RP11-206L10.4
13,RP11-206L10.9
14,FAM87B
15,FAM41C
16,RP11-54O7.16
17,RP11-54O7.3
18,SAMD11
19,NOC2L
20,KLHL17
21,PLEKHN1
22,PERM1
23,RP11-54O7.17
24,HES4
25,ISG15
26,RP11-54O7.11
27,AGRN
28,RP11-54O7.18
29,RNF223
30,C1orf159
31,LINC01342
32,RP11-465B22.8
33,TTLL10-AS1
34,TTLL10
35,TNFRSF18
36,TNFRSF4
37,SDF4
38,B3GALT6
39,FAM132A
40,RP5-902P8.12
41,UBE2J2
42,RP5-902P8.10
43,SCNN1D
44,ACAP3
45,PUSL1
46,CPSF3L
47,CPTP
48,TAS1R3
49,DVL1
50,MXRA8
51,AURKAIP1
52,CCNL2
53,MRPL20
54,RP4-758J18.13
55,ANKRD65
56,RP4-758J18.7
57,TMEM88B
58,RP4-758J18.10
59,VWA1
60,ATAD3C
61,ATAD3B
62,ATAD3A
63,TMEM240
64,SSU72
65,RP5-832C2.5
66,AL645728.1
67,C1orf233
68,RP11-345P4.9
69,MIB2
70,MMP23B
71,CDK11B
72,SLC35E2B
73,CDK11A
74,SLC35E2
75,NADK
76,GNB1
77,RP1-140A9.1
78,CALML6
79,TMEM52
80,CFAP74
81,RP11-547D24.1
82,GABRD
83,RP11-547D24.3
84,PRKCZ
85,RP5-892K4.1
86,RP11-181G12.2
87,FAAP20
88,RP11-181G12.4
89,SKI
90,MORN1
91,RER1
92,PEX10
93,PLCH2
94,RP3-395M20.2
95,RP3-395M20.3
96,PANK4
97,HES5
98,RP3-395M20.12
99,RP3-395M20.8
100,TNFRSF14
101,RP3-395M20.9
102,FAM213B
103,MMEL1
104,RP13-436F16.1
105,TTC34
106,ACTRT2
107,LINC00982
108,PRDM16
109,RP11-22L13.1
110,ARHGEF16
111,RP11-168F9.2
112,MEGF6
113,RP11-46F15.2
114,TPRG1L
115,WRAP73
116,TP73
117,RP5-1092A11.5
118,RP5-1092A11.2
119,TP73-AS1
120,CCDC27
121,SMIM1
122,LRRC47
123,RP1-286D6.5
124,CEP104
125,DFFB
126,C1orf174
127,LINC01134
128,LINC01346
129,RP13-614K11.2
130,RP5-1166F10.1
131,RP1-37J18.2
132,AJAP1
133,RP11-542C10.1
134,RP1-58B11.1
135,RP11-154H17.1
136,NPHP4
137,KCNAB2
138,CHD5
139,RPL22
140,RNF207
141,ICMT
142,LINC00337
143,GPR153
144,ACOT7
145,RP1-202O8.3
146,HES2
147,ESPN
148,RP1-202O8.2
149,TNFRSF25
150,PLEKHG5
151,NOL9
152,TAS1R1
153,ZBTB48
154,KLHL21
155,PHF13
156,THAP3
157,DNAJC11
158,RP11-242F24.1
159,RP11-312B8.1
160,CAMTA1
161,RP11-334N17.1
162,RP3-453P22.2
163,RP11-338N10.1
164,RP11-338N10.2
165,RP11-338N10.3
166,VAMP3
167,PER3
168,RP3-467L1.4
169,UTS2
170,TNFRSF9
171,PARK7
172,ERRFI1
173,RP11-431K24.1
174,RP11-431K24.3
175,RP11-431K24.4
176,SLC45A1
177,RERE
178,RP5-1115A15.1
179,ENO1
180,ENO1-AS1
181,CA6
182,SLC2A7
183,SLC2A5
184,GPR157
185,MIR34AHG
186,RP3-510D11.2
187,RP3-510D11.4
188,H6PD
189,SPSB1
190,RP13-392I16.1
191,SLC25A33
192,TMEM201
193,PIK3CD
194,PIK3CD-AS1
195,PIK3CD-AS2
196,CLSTN1
197,AL357140.1
198,CTNNBIP1
199,RP11-84A14.5
200,LZIC
201,NMNAT1
202,RBP7
203,UBE4B
204,KIF1B
205,PGD
206,RP4-736L20.3
207,APITD1-CORT
208,DFFA
209,RP5-1113E3.3
210,PEX14
211,CASZ1
212,RP4-734G22.3
213,C1orf127
214,TARDBP
215,RP4-635E18.9
216,MASP2
217,SRM
218,EXOSC10
219,RP4-635E18.7
220,RP4-635E18.6
221,MTOR
222,MTOR-AS1
223,ANGPTL7
224,UBIAD1
225,PTCHD2
226,FBXO2
227,FBXO44
228,FBXO6
229,MAD2L2
230,DRAXIN
231,AGTRAP
232,C1orf167
233,RP11-56N19.5
234,MTHFR
235,CLCN6
236,NPPA-AS1
237,NPPA
238,NPPB
239,KIAA2013
240,PLOD1
241,MFN2
242,MIIP
243,TNFRSF8
244,TNFRSF1B
245,VPS13D
246,DHRS3
247,RP11-474O21.5
248,AADACL4
249,AADACL3
250,C1orf158
251,PRAMEF12
252,HNRNPCL1
253,PRAMEF6
254,PRAMEF26
255,PRAMEF25
256,PRAMEF18
257,PRAMEF8
258,PRAMEF15
259,PRAMEF20
260,LRRC38
261,RP4-597A16.2
262,PDPN
263,CTA-520D8.2
264,PRDM2
265,RP11-344F13.1
266,RP4-704D23.1
267,KAZN
268,TMEM51-AS1
269,TMEM51
270,C1orf195
271,FHAD1
272,RP3-467K16.2
273,RP3-467K16.4
274,EFHD2
275,CTRC
276,CELA2A
277,CELA2B
278,CASP9
279,DNAJC16
280,RP4-680D5.8
281,AGMAT
282,RP4-680D5.2
283,DDI2
284,RP4-680D5.9
285,PLEKHM2
286,RP11-288I21.1
287,SLC25A34
288,RP11-169K16.4
